FID,DAUID,PRUID,CSDUID,HOODNUM,HOOD,FULLHOOD,Latitude,Longitude
0,35200879,35,3520005,81,Trinity-Bellwoods,Trinity-Bellwoods (81),43.650122933900001,-79.415534536699994
1,35201763,35,3520005,1,West Humber-Clairville,West Humber-Clairville (1),43.716078731499998,-79.596419165100002
2,35201852,35,3520005,2,Mount Olive-Silverstone-Jamestown,Mount Olive-Silverstone-Jamestown (2),43.746810388599997,-79.587516226700004
3,35201872,35,3520005,21,Humber Summit,Humber Summit (21),43.758888866400000,-79.556366848300001
4,35201857,35,3520005,3,Thistletown-Beaumond Heights,Thistletown-Beaumond Heights (3),43.738031558099998,-79.563932630799997
5,35201868,35,3520005,22,Humbermede,Humbermede (22),43.743365257500002,-79.542681105200003
6,35201827,35,3520005,4,Rexdale-Kipling,Rexdale-Kipling (4),43.723681712599998,-79.566383506899996
7,35201818,35,3520005,5,Elms-Old Rexdale,Elms-Old Rexdale (5),43.721449046499998,-79.549146986699995
8,35201913,35,3520005,23,Pelmo Park-Humberlea,Pelmo Park-Humberlea (23),43.717456065500002,-79.528488966300003
9,35201958,35,3520005,26,Downsview-Roding-CFB,Downsview-Roding-CFB (26),43.733206546700004,-79.490618140199999
10,35201789,35,3520005,6,Kingsview Village-The Westway,Kingsview Village-The Westway (6),43.698969232099998,-79.548014438500005
11,35201229,35,3520005,113,Weston,Weston (113),43.702674510900003,-79.515829593999996
12,35201944,35,3520005,28,Rustic,Rustic (28),43.711520885699997,-79.498246344199998
13,35202965,35,3520005,8,Humber Heights-Westmount,Humber Heights-Westmount (8),43.692210552799999,-79.522616828099999
14,35201218,35,3520005,30,Brookhaven-Amesbury,Brookhaven-Amesbury (30),43.701245253899998,-79.485844235000002
15,35201228,35,3520005,115,Mount Dennis,Mount Dennis (115),43.688101964099999,-79.500126077900006
16,35201715,35,3520005,7,Willowridge-Martingrove-Richview,Willowridge-Martingrove-Richview (7),43.683597106900002,-79.554379427399994
17,35201691,35,3520005,10,Princess-Rosethorn,Princess-Rosethorn (10),43.666034018200001,-79.544757516399997
18,35201621,35,3520005,11,Eringate-Centennial-West Deane,Eringate-Centennial-West Deane (11),43.657977824400000,-79.580616913399993
19,35201692,35,3520005,9,Edenbridge-Humber Valley,Edenbridge-Humber Valley (9),43.670850260199998,-79.522647001600006
20,35201240,35,3520005,111,Rockcliffe-Smythe,Rockcliffe-Smythe (111),43.674768277500000,-79.494573840599998
21,35201607,35,3520005,12,Markland Woods,Markland Woods (12),43.633566840000000,-79.573620132399995
22,35201628,35,3520005,13,Etobicoke West Mall,Etobicoke West Mall (13),43.645046918399999,-79.569205478599997
23,35201519,35,3520005,14,Islington-City Centre West,Islington-City Centre West (14),43.633472420600000,-79.543479189199999
24,35201583,35,3520005,20,Alderwood,Alderwood (20),43.604918723499999,-79.541710412000000
25,35201563,35,3520005,19,Long Branch,Long Branch (19),43.592313287099998,-79.533496452400001
26,35201546,35,3520005,18,New Toronto,New Toronto (18),43.600551149300003,-79.510534324399998
27,35201527,35,3520005,17,Mimico,Mimico (17),43.615756288999997,-79.500586858099993
28,35201507,35,3520005,16,Stonegate-Queensway,Stonegate-Queensway (16),43.635446188300001,-79.501289808199999
29,35201496,35,3520005,15,Kingsway South,Kingsway South (15),43.653488953500002,-79.510744921899999
30,35201268,35,3520005,114,Lambton Baby Point,Lambton Baby Point (114),43.657368652400002,-79.496206163899998
31,35201312,35,3520005,87,High Park-Swansea,High Park-Swansea (87),43.645039955500003,-79.468066004799994
32,35201272,35,3520005,89,Runnymede-Bloor West Village,Runnymede-Bloor West Village (89),43.659217807399997,-79.485840966100000
33,35201281,35,3520005,88,High Park North,High Park North (88),43.657530859600001,-79.466457107300002
34,35201282,35,3520005,90,Junction Area,Junction Area (90),43.667887709600002,-79.471615066799998
35,35201323,35,3520005,86,Roncesvalles,Roncesvalles (86),43.646079387199997,-79.443185858299998
36,35201329,35,3520005,85,South Parkdale,South Parkdale (85),43.636630352899999,-79.439555621099998
37,35200925,35,3520005,83,Dufferin Grove,Dufferin Grove (83),43.655392914700002,-79.437510064199998
38,35200930,35,3520005,84,Little Portugal,Little Portugal (84),43.647500355699997,-79.430499919699997
39,35200954,35,3520005,93,Dovercourt-Wallace Emerson-Juncti,Dovercourt-Wallace Emerson-Juncti (93),43.665647724300001,-79.438714629700002
40,35200871,35,3520005,82,Niagara,Niagara (82),43.636892270499999,-79.412653116800001
41,35201159,35,3520005,91,Weston-Pellam Park,Weston-Pellam Park (91),43.673999078700000,-79.460509057400003
42,35200910,35,3520005,80,Palmerston-Little Italy,Palmerston-Little Italy (80),43.659104992300001,-79.418579917100004
43,35200904,35,3520005,79,University,University (79),43.662439806599998,-79.401377917000005
44,35200857,35,3520005,78,Kensington-Chinatown,Kensington-Chinatown (78),43.653491426099997,-79.397482019300000
45,35200825,35,3520005,77,Waterfront Communities-The Island,Waterfront Communities-The Island (77),43.635179348100003,-79.380270613700006
46,35200988,35,3520005,95,Annex,Annex (95),43.671562070599997,-79.404199865199999
47,35200974,35,3520005,94,Wychwood,Wychwood (94),43.676921484499999,-79.425703006700004
48,35201114,35,3520005,92,Corsa Italia-Davenport,Corsa Italia-Davenport (92),43.677607991999999,-79.447671889899993
49,35201115,35,3520005,107,Oakwood-Vaughan,Oakwood-Vaughan (107),43.688507861399998,-79.439959560299997
50,35201092,35,3520005,106,Humewood-Cedarvale,Humewood-Cedarvale (106),43.691348269800002,-79.427873650199999
51,35201079,35,3520005,96,Casa Loma,Casa Loma (96),43.681869657699998,-79.408284078999998
52,35201084,35,3520005,101,Forest Hill South,Forest Hill South (101),43.694580759300003,-79.414488550000002
53,35202787,35,3520005,97,Yonge-St.Clair,Yonge-St.Clair (97),43.687891991400001,-79.398061863500004
54,35200855,35,3520005,76,Bay Street Corridor,Bay Street Corridor (76),43.657477964199998,-79.385926772700003
55,35200747,35,3520005,98,Rosedale-Moore Park,Rosedale-Moore Park (98),43.682750895399998,-79.379835606599997
56,35200758,35,3520005,75,Church-Yonge Corridor,Church-Yonge Corridor (75),43.659632839499999,-79.379186049500007
57,35201128,35,3520005,109,Caledonia-Fairbanks,Caledonia-Fairbanks (109),43.688525867300001,-79.455396243199999
58,35200756,35,3520005,74,North St.James Town,North St.James Town (74),43.669584739199998,-79.375417182400000
59,35200766,35,3520005,71,Cabbagetown-South St.James Town,Cabbagetown-South St.James Town (71),43.667624473300002,-79.366286957900002
60,35200812,35,3520005,73,Moss Park,Moss Park (73),43.656490339999998,-79.367454703999996
61,35200799,35,3520005,72,Regent Park,Regent Park (72),43.659956922100001,-79.360703966900005
62,35200733,35,3520005,67,Playter Estates-Danforth,Playter Estates-Danforth (67),43.679687964099998,-79.355029771800005
63,35200693,35,3520005,70,South Riverdale,South Riverdale (70),43.651224770600003,-79.335988869700003
64,35200706,35,3520005,68,North Riverdale,North Riverdale (68),43.671959000699999,-79.351447455699997
65,35200704,35,3520005,69,Blake-Jones,Blake-Jones (69),43.676120904000001,-79.337591848399995
66,35200578,35,3520005,66,Danforth Village - Toronto,Danforth Village - Toronto (66),43.683979902799997,-79.330101765699993
67,35200732,35,3520005,57,Broadview North,Broadview North (57),43.688806542000002,-79.355853374999995
68,35200523,35,3520005,58,Old East York,Old East York (58),43.696678149500002,-79.335863057500006
69,35200518,35,3520005,59,Danforth Village - East York,Danforth Village - East York (59),43.689445188599997,-79.331546981299994
70,35200583,35,3520005,65,Greenwood-Coxwell,Greenwood-Coxwell (65),43.672596727799998,-79.324490925899994
71,35200588,35,3520005,64,Woodbine Corridor,Woodbine Corridor (64),43.676742005500003,-79.315574768600001
72,35202183,35,3520005,29,Maple Leaf,Maple Leaf (29),43.715467336700002,-79.480918542900000
73,35201207,35,3520005,112,Beechborough-Greenbrook,Beechborough-Greenbrook (112),43.693213319900003,-79.479447675299994
74,35201191,35,3520005,110,Keelesdale-Eglinton West,Keelesdale-Eglinton West (110),43.685771659099998,-79.471545871100005
75,35202212,35,3520005,108,Briar Hill-Belgravia,Briar Hill-Belgravia (108),43.698981686600000,-79.453049467400007
76,35202137,35,3520005,31,Yorkdale-Glen Park,Yorkdale-Glen Park (31),43.714543635500000,-79.457384586100005
77,35202259,35,3520005,102,Forest Hill North,Forest Hill North (102),43.704219366300002,-79.428318559800005
78,35202131,35,3520005,32,Englemount-Lawrence,Englemount-Lawrence (32),43.720237883899998,-79.437687070899997
79,35202123,35,3520005,39,Bedford Park-Nortown,Bedford Park-Nortown (39),43.731468225500002,-79.420399370200002
80,35202325,35,3520005,103,Lawrence Park South,Lawrence Park South (103),43.717141858200002,-79.406288180499999
81,35202329,35,3520005,100,Yonge-Eglinton,Yonge-Eglinton (100),43.704677749100000,-79.403763484799995
82,35202655,35,3520005,104,Mount Pleasant West,Mount Pleasant West (104),43.704369468000003,-79.393513287800005
83,35202344,35,3520005,105,Lawrence Park North,Lawrence Park North (105),43.729974889200001,-79.404214510200006
84,35202647,35,3520005,99,Mount Pleasant East,Mount Pleasant East (99),43.704772010100001,-79.385097580600004
85,35202018,35,3520005,24,Black Creek,Black Creek (24),43.764844421699998,-79.522191059799994
86,35201968,35,3520005,25,Glenfield-Jane Heights,Glenfield-Jane Heights (25),43.745648869000000,-79.513628977099998
87,35201994,35,3520005,27,York University Heights,York University Heights (27),43.765702978699998,-79.489014807000004
88,35202099,35,3520005,34,Bathurst Manor,Bathurst Manor (34),43.764817267300003,-79.456245440499998
89,35202527,35,3520005,35,Westminster-Branson,Westminster-Branson (35),43.778842355700000,-79.452534015799998
90,35202110,35,3520005,33,Clanton Park,Clanton Park (33),43.741870696800000,-79.446397494600006
91,35200352,35,3520005,38,Lansing-Westgate,Lansing-Westgate (38),43.754170633800001,-79.424752673200004
92,35202421,35,3520005,37,Willowdale West,Willowdale West (37),43.771102463100000,-79.427990077299995
93,35202430,35,3520005,36,Newtonbrook West,Newtonbrook West (36),43.785800604400002,-79.431613692599996
94,35202431,35,3520005,50,Newtonbrook East,Newtonbrook East (50),43.791517978000002,-79.406125356000004
95,35200334,35,3520005,51,Willowdale East,Willowdale East (51),43.770634016499997,-79.401700452900002
96,35200323,35,3520005,49,Bayview Woods-Steeles,Bayview Woods-Steeles (49),43.796771642099998,-79.382311954599999
97,35200292,35,3520005,52,Bayview Village,Bayview Village (52),43.776288466399997,-79.377291269699995
98,35200370,35,3520005,40,St.Andrew-Windfields,St.Andrew-Windfields (40),43.756200431000003,-79.379288520499998
99,35200280,35,3520005,47,Don Valley Village,Don Valley Village (47),43.783230153600002,-79.353921931499997
100,35200270,35,3520005,53,Henry Farm,Henry Farm (53),43.771061810699997,-79.341367776100000
101,35200181,35,3520005,46,Pleasant View,Pleasant View (46),43.787079309699998,-79.335264914600003
102,35200397,35,3520005,45,Parkwoods-Donalda,Parkwoods-Donalda (45),43.754951012900001,-79.330326733000007
103,35200213,35,3520005,118,Tam O'Shanter-Sullivan,Tam O'Shanter-Sullivan (118),43.780061900500002,-79.303086002900002
104,35202608,35,3520005,41,Bridle Path-Sunnybrook-York Mills,Bridle Path-Sunnybrook-York Mills (41),43.730930159700002,-79.379013713600003
105,35200746,35,3520005,56,Leaside-Bennington,Leaside-Bennington (56),43.703507807900003,-79.366394764199995
106,35200376,35,3520005,42,Banbury-Don Mills,Banbury-Don Mills (42),43.737583874899997,-79.349909945099995
107,35200545,35,3520005,55,Thorncliffe Park,Thorncliffe Park (55),43.707707317299999,-79.350186865799998
108,35200538,35,3520005,44,Flemingdon Park,Flemingdon Park (44),43.715882743100003,-79.332854776800005
109,35200446,35,3520005,43,Victoria Village,Victoria Village (43),43.728464588999998,-79.315079617899997
110,35200478,35,3520005,54,O'Connor-Parkview,O'Connor-Parkview (54),43.706632624100003,-79.312436577000000
111,35200658,35,3520005,63,The Beaches,The Beaches (63),43.671010583300003,-79.299829850500004
112,35200594,35,3520005,62,East End-Danforth,East End-Danforth (62),43.684199804700000,-79.299472410700005
113,35200511,35,3520005,60,Woodbine-Lumsden,Woodbine-Lumsden (60),43.693908957700003,-79.311360441100007
114,35200496,35,3520005,61,Crescent Town,Crescent Town (61),43.695041654199997,-79.295944957299994
115,35200644,35,3520005,122,Birchcliffe-Cliffside,Birchcliffe-Cliffside (122),43.694647212500001,-79.265353759099995
116,35200632,35,3520005,121,Oakridge,Oakridge (121),43.697385705400002,-79.279959575099994
117,35200475,35,3520005,120,Clairlea-Birchmount,Clairlea-Birchmount (120),43.713534460100000,-79.281553644599995
118,35200422,35,3520005,119,Wexford/Maryvale,Wexford/Maryvale (119),43.748494928600003,-79.298812505300006
119,35203403,35,3520005,126,Dorset Park,Dorset Park (126),43.759164386999998,-79.279091371400000
120,35203465,35,3520005,125,Ionview,Ionview (125),43.735281170800000,-79.272645784700003
121,35203439,35,3520005,124,Kennedy Park,Kennedy Park (124),43.725534327500000,-79.260551190499996
122,35203270,35,3520005,123,Cliffcrest,Cliffcrest (123),43.721076108399998,-79.235857540200001
123,35203289,35,3520005,138,Eglinton East,Eglinton East (138),43.740878011200003,-79.245761618399996
124,35203384,35,3520005,127,Bendale,Bendale (127),43.760280535600003,-79.257578063099999
125,35203305,35,3520005,139,Scarborough Village,Scarborough Village (139),43.738731420800001,-79.217164584399995
126,35203297,35,3520005,137,Woburn,Woburn (137),43.766690591400000,-79.228778572500005
127,35203314,35,3520005,140,Guildwood,Guildwood (140),43.748801009200001,-79.195298452700001
128,35203331,35,3520005,135,Morningside,Morningside (135),43.782281135799998,-79.207243647100000
129,35203324,35,3520005,136,West Hill,West Hill (136),43.767455273300001,-79.176867912700004
130,35200001,35,3520005,131,Rouge,Rouge (131),43.821143469500001,-79.186629153499993
131,35203677,35,3520005,133,Centennial Scarborough,Centennial Scarborough (133),43.782409866899997,-79.151156212100005
132,35203688,35,3520005,134,Highland Creek,Highland Creek (134),43.790653202100003,-79.177644304400005
133,35200009,35,3520005,132,Malvern,Malvern (132),43.803511307500003,-79.222706290999994
134,35200320,35,3520005,48,Hillcrest Village,Hillcrest Village (48),43.802932318700002,-79.355095593700000
135,35200165,35,3520005,116,Steeles,Steeles (116),43.812915932499997,-79.321406565800004
136,35200143,35,3520005,117,L'Amoreaux,L'Amoreaux (117),43.795700174399997,-79.314246244800003
137,35200092,35,3520005,128,Agincourt South-Malvern West,Agincourt South-Malvern West (128),43.788507036299997,-79.265875142499993
138,35200094,35,3520005,130,Milliken,Milliken (130),43.820709227400002,-79.275177363200001
139,35200063,35,3520005,129,Agincourt North,Agincourt North (129),43.805488631000003,-79.266876947300005